,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,lastUpdateTime,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,meta
43,BALKRISIND,,EQ,1895,1920.6,1893.05,1915.8,1895.6,20.2,1.07,182035,347359187,11-Aug-22,2537.45,1690.55,24.49900491,-13.32406613,-26.5,14-Oct-21,https://static.nseindia.com/sparklines/365d/BALKRISIND-EQ.jpg,16-Sep-22,-0.05,https://static.nseindia.com/sparklines/30d/BALKRISIND-EQ.jpg,https://static.nseindia.com/sparklines/today/BALKRISINDEQN.jpg,"{'symbol': 'BALKRISIND', 'companyName': 'Balkrishna Industries Limited', 'industry': 'TYRES', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE787D01026'}"
44,OFSS,,EQ,2977,3024,2960.25,3004.25,2975.35,28.9,0.97,112898,338208538.6,31-Dec-99,4543.25,2883.25,33.8744291,-4.196653082,-38.46,14-Oct-21,https://static.nseindia.com/sparklines/365d/OFSS-EQ.jpg,16-Sep-22,-3.17,https://static.nseindia.com/sparklines/30d/OFSS-EQ.jpg,https://static.nseindia.com/sparklines/today/OFSSEQN.jpg,"{'symbol': 'OFSS', 'companyName': 'Oracle Financial Services Software Limited', 'industry': 'COMPUTERS - SOFTWARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE881D01027'}"
45,NMDC,,EQ,111.1,112.45,110.35,111.65,110.6,1.05,0.95,8710673,971065826,27-Oct-22,175.35,92.25,36.32734531,-21.0298103,-13.12,14-Oct-21,https://static.nseindia.com/sparklines/365d/NMDC-EQ.jpg,16-Sep-22,6.59,https://static.nseindia.com/sparklines/30d/NMDC-EQ.jpg,https://static.nseindia.com/sparklines/today/NMDCEQN.jpg,"{'symbol': 'NMDC', 'companyName': 'NMDC Limited', 'industry': 'MINING', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE584A01023'}"
46,BHEL,,EQ,75.45,77.45,75.35,76.05,75.35,0.7,0.93,28838769,2197225810,15-Sep-22,77.45,41.4,1.807617818,-83.69565217,-15.33,14-Oct-21,https://static.nseindia.com/sparklines/365d/BHEL-EQ.jpg,16-Sep-22,5.98,https://static.nseindia.com/sparklines/30d/BHEL-EQ.jpg,https://static.nseindia.com/sparklines/today/BHELEQN.jpg,"{'symbol': 'BHEL', 'companyName': 'Bharat Heavy Electricals Limited', 'industry': 'ELECTRICAL EQUIPMENT', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE257A01026'}"
47,MRF,,EQ,91000,91500,90500,91489,90658.15,830.85,0.92,6468,588330250.2,31-Dec-99,93887,63000,2.554134225,-45.22063492,-3.4,14-Oct-21,https://static.nseindia.com/sparklines/365d/MRF-EQ.jpg,16-Sep-22,-4.46,https://static.nseindia.com/sparklines/30d/MRF-EQ.jpg,https://static.nseindia.com/sparklines/today/MRFEQN.jpg,"{'symbol': 'MRF', 'companyName': 'MRF Limited', 'industry': 'TYRES', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE883A01011'}"
48,IDFC,,EQ,78.15,79.2,77.35,78.8,78.1,0.7,0.9,6237576,488339825,31-Dec-99,80,42.2,1.5,-86.72985782,42.99,14-Oct-21,https://static.nseindia.com/sparklines/365d/IDFC-EQ.jpg,16-Sep-22,17.25,https://static.nseindia.com/sparklines/30d/IDFC-EQ.jpg,https://static.nseindia.com/sparklines/today/IDFCEQN.jpg,"{'symbol': 'IDFC', 'companyName': 'IDFC Limited', 'industry': 'FINANCIAL INSTITUTION', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['H1', 'H2', 'H3', 'H4', 'H5', 'H6', 'H7', 'H8', 'H9', 'HA', 'HB', 'HC', 'HD', 'HE', 'IL', 'N1', 'N2', 'N3', 'N4', 'N5', 'N6', 'N7', 'N8', 'N9', 'NA', 'NB', 'NC', 'ND', 'NE', 'U9', 'UA', 'UB'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE043D07AE5'}"
49,PETRONET,,EQ,209.15,211.2,208.8,211,209.15,1.85,0.88,807437,169731331.8,31-Dec-99,239.35,190.25,11.84457907,-10.90670171,-12.82,14-Oct-21,https://static.nseindia.com/sparklines/365d/PETRONET-EQ.jpg,16-Sep-22,-4.33,https://static.nseindia.com/sparklines/30d/PETRONET-EQ.jpg,https://static.nseindia.com/sparklines/today/PETRONETEQN.jpg,"{'symbol': 'PETRONET', 'companyName': 'Petronet LNG Limited', 'industry': 'GAS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['IL'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE347G01014'}"
50,IRCTC,,EQ,752,766.45,748.05,757.95,751.4,6.55,0.87,4743835,3597629587,18-Aug-22,929,557,18.41227126,-36.07719928,-86.68,14-Oct-21,https://static.nseindia.com/sparklines/365d/IRCTC-EQ.jpg,16-Sep-22,3.56,https://static.nseindia.com/sparklines/30d/IRCTC-EQ.jpg,https://static.nseindia.com/sparklines/today/IRCTCEQN.jpg,"{'symbol': 'IRCTC', 'companyName': 'Indian Railway Catering And Tourism Corporation Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE335Y01020'}"
51,MOTHERSON,,EQ,64.65,65.25,64.45,65.1,64.55,0.55,0.85,10365748,672322415.3,03-Oct-22,169.87,61.8,61.67657621,-5.339805825,-,-,-,16-Sep-22,-44.28,https://static.nseindia.com/sparklines/30d/MOTHERSON-EQ.jpg,https://static.nseindia.com/sparklines/today/MOTHERSONEQN.jpg,"{'symbol': 'MOTHERSON', 'companyName': 'Samvardhana Motherson International Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE775A01035'}"
52,HONAUT,,EQ,40310.45,41192.05,40221.5,40601,40282.35,318.65,0.79,5357,217469611.4,08-Aug-22,46397.7,30185.35,12.49350722,-34.50564595,-13.89,14-Oct-21,https://static.nseindia.com/sparklines/365d/HONAUT-EQ.jpg,16-Sep-22,-4.86,https://static.nseindia.com/sparklines/30d/HONAUT-EQ.jpg,https://static.nseindia.com/sparklines/today/HONAUTEQN.jpg,"{'symbol': 'HONAUT', 'companyName': 'Honeywell Automation India Limited', 'industry': 'ELECTRONICS - INDUSTRIAL', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE671A01010'}"
