,symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,lastUpdateTime,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,meta
63,AXISBANK,,EQ,869,872.9,862.3,868.2,864.05,4.15,0.48,7323879,6349143944,31-Dec-99,919.95,618.25,5.625305723,-40.4286292,1.51,14-Oct-21,https://static.nseindia.com/sparklines/365d/AXISBANK-EQ.jpg,16-Sep-22,3.15,https://static.nseindia.com/sparklines/30d/AXISBANK-EQ.jpg,https://static.nseindia.com/sparklines/today/AXISBANKEQN.jpg,"{'symbol': 'AXISBANK', 'companyName': 'Axis Bank Limited', 'industry': 'BANKS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['IL'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE238A01034'}"
64,DLF,,EQ,385.2,389.6,384.05,386.5,384.75,1.75,0.45,2031089,785503359.9,31-Dec-99,444,294.7,12.95045045,-31.15032236,-17.36,14-Oct-21,https://static.nseindia.com/sparklines/365d/DLF-EQ.jpg,16-Sep-22,-7.63,https://static.nseindia.com/sparklines/30d/DLF-EQ.jpg,https://static.nseindia.com/sparklines/today/DLFEQN.jpg,"{'symbol': 'DLF', 'companyName': 'DLF Limited', 'industry': 'CONSTRUCTION', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE271C01023'}"
65,INDUSINDBK,,EQ,1153.75,1158,1142.1,1153.1,1148,5.1,0.44,1571565,1807315466,11-Aug-22,1275.8,763.2,9.617494905,-51.08752621,-0.86,14-Oct-21,https://static.nseindia.com/sparklines/365d/INDUSINDBK-EQ.jpg,16-Sep-22,-2.26,https://static.nseindia.com/sparklines/30d/INDUSINDBK-EQ.jpg,https://static.nseindia.com/sparklines/today/INDUSINDBKEQN.jpg,"{'symbol': 'INDUSINDBK', 'companyName': 'IndusInd Bank Limited', 'industry': 'BANKS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['IL'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE095A01012'}"
66,TATAPOWER,,EQ,227.7,229.4,226.75,228.4,227.4,1,0.44,8681681,1978555100,31-Dec-99,298.05,190,23.36856232,-20.21052632,-2.09,14-Oct-21,https://static.nseindia.com/sparklines/365d/TATAPOWER-EQ.jpg,16-Sep-22,-7.77,https://static.nseindia.com/sparklines/30d/TATAPOWER-EQ.jpg,https://static.nseindia.com/sparklines/today/TATAPOWEREQN.jpg,"{'symbol': 'TATAPOWER', 'companyName': 'Tata Power Company Limited', 'industry': 'POWER', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE245A01021'}"
67,INDIACEM,,EQ,244.05,250.1,240.65,245.3,244.25,1.05,0.43,3647595,897016562.4,20-Sep-22,298.95,145.45,17.94614484,-68.64902028,8.86,14-Oct-21,https://static.nseindia.com/sparklines/365d/INDIACEM-EQ.jpg,16-Sep-22,-12.29,https://static.nseindia.com/sparklines/30d/INDIACEM-EQ.jpg,https://static.nseindia.com/sparklines/today/INDIACEMEQN.jpg,"{'symbol': 'INDIACEM', 'companyName': 'The India Cements Limited', 'industry': 'CEMENT AND CEMENT PRODUCTS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE383A01012'}"
68,TATACONSUM,,EQ,761,767,759.2,766,762.75,3.25,0.43,940199,717371837,31-Dec-99,861.15,650.2,11.04917842,-17.80990464,-10.18,14-Oct-21,https://static.nseindia.com/sparklines/365d/TATACONSUM-EQ.jpg,16-Sep-22,-4.03,https://static.nseindia.com/sparklines/30d/TATACONSUM-EQ.jpg,https://static.nseindia.com/sparklines/today/TATACONSUMEQN.jpg,"{'symbol': 'TATACONSUM', 'companyName': 'TATA CONSUMER PRODUCTS LIMITED', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE192A01025'}"
69,TCS,,EQ,3217,3220.05,3166.15,3220,3206.75,13.25,0.41,1464013,4673173416,17-Oct-22,4043,2926.1,20.35617116,-10.04408598,-13.84,14-Oct-21,https://static.nseindia.com/sparklines/365d/TCS-EQ.jpg,16-Sep-22,3.43,https://static.nseindia.com/sparklines/30d/TCS-EQ.jpg,https://static.nseindia.com/sparklines/today/TCSEQN.jpg,"{'symbol': 'TCS', 'companyName': 'Tata Consultancy Services Limited', 'industry': 'COMPUTERS - SOFTWARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE467B01029'}"
70,COALINDIA,,EQ,246.7,248.7,245.5,247.2,246.2,1,0.41,5511411,1359940664,31-Dec-99,249.6,139.15,0.961538462,-77.65001797,29.49,14-Oct-21,https://static.nseindia.com/sparklines/365d/COALINDIA-EQ.jpg,16-Sep-22,3.01,https://static.nseindia.com/sparklines/30d/COALINDIA-EQ.jpg,https://static.nseindia.com/sparklines/today/COALINDIAEQN.jpg,"{'symbol': 'COALINDIA', 'companyName': 'Coal India Limited', 'industry': 'MINING', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE522F01014'}"
71,GNFC,,EQ,707,712.2,699.75,706.8,704.05,2.75,0.39,608852,429252837,19-Sep-22,912,390.1,22.5,-81.18431171,49.71,14-Oct-21,https://static.nseindia.com/sparklines/365d/GNFC-EQ.jpg,16-Sep-22,-2.04,https://static.nseindia.com/sparklines/30d/GNFC-EQ.jpg,https://static.nseindia.com/sparklines/today/GNFCEQN.jpg,"{'symbol': 'GNFC', 'companyName': 'Gujarat Narmada Valley Fertilizers and Chemicals Limited', 'industry': 'FERTILISERS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE113A01013'}"
72,AUBANK,,EQ,613,619.9,611.8,616.85,614.6,2.25,0.37,805042,494947872,31-Dec-99,732.98,462.5,15.8435428,-33.37297297,-48.37,14-Oct-21,https://static.nseindia.com/sparklines/365d/AUBANK-EQ.jpg,16-Sep-22,-6.51,https://static.nseindia.com/sparklines/30d/AUBANK-EQ.jpg,https://static.nseindia.com/sparklines/today/AUBANKEQN.jpg,"{'symbol': 'AUBANK', 'companyName': 'AU Small Finance Bank Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE949L01017'}"
73,M&M,,EQ,1338,1352,1331,1340,1335.4,4.6,0.34,2204968,2948571408,31-Dec-99,1366.55,671.15,1.94284878,-99.65730463,32.06,14-Oct-21,https://static.nseindia.com/sparklines/365d/M&M-EQ.jpg,16-Sep-22,-1.61,https://static.nseindia.com/sparklines/30d/M&M-EQ.jpg,https://static.nseindia.com/sparklines/today/M&MEQN.jpg,"{'symbol': 'M&M', 'companyName': 'Mahindra & Mahindra Limited', 'industry': 'AUTOMOBILES - 4 WHEELERS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE101A01026'}"
74,ZYDUSLIFE,,EQ,440.85,441,434.55,440.1,438.65,1.45,0.33,1099357,482903555.8,31-Dec-99,509.95,319,13.69742132,-37.96238245,-,-,-,16-Sep-22,15.93,https://static.nseindia.com/sparklines/30d/ZYDUSLIFE-EQ.jpg,https://static.nseindia.com/sparklines/today/ZYDUSLIFEEQN.jpg,"{'symbol': 'ZYDUSLIFE', 'companyName': 'Zydus Lifesciences Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE010B01027'}"
75,LT,,EQ,2010,2029.35,2004.75,2015,2008.7,6.3,0.31,2312753,4660867993,31-Dec-99,2078.55,1456.35,3.057419836,-38.35959762,5.25,14-Oct-21,https://static.nseindia.com/sparklines/365d/LT-EQ.jpg,16-Sep-22,-1.92,https://static.nseindia.com/sparklines/30d/LT-EQ.jpg,https://static.nseindia.com/sparklines/today/LTEQN.jpg,"{'symbol': 'LT', 'companyName': 'Larsen & Toubro Limited', 'industry': 'ENGINEERING', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE018A01030'}"
76,AARTIIND,,EQ,733.55,738.2,722.4,732.9,730.7,2.2,0.3,624137,454808631.9,19-Oct-22,1118,642.3,34.44543828,-14.10555815,-28.84,14-Oct-21,https://static.nseindia.com/sparklines/365d/AARTIIND-EQ.jpg,16-Sep-22,-10.93,https://static.nseindia.com/sparklines/30d/AARTIIND-EQ.jpg,https://static.nseindia.com/sparklines/today/AARTIINDEQN.jpg,"{'symbol': 'AARTIIND', 'companyName': 'Aarti Industries Limited', 'industry': 'CHEMICALS - SPECIALITY', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE769A01020'}"
77,HAVELLS,,EQ,1213.15,1213.15,1198.15,1210,1207.1,2.9,0.24,542314,653336522.1,31-Dec-99,1429.4,1037.4,15.34909752,-16.63774822,-16.42,14-Oct-21,https://static.nseindia.com/sparklines/365d/HAVELLS-EQ.jpg,16-Sep-22,-5.4,https://static.nseindia.com/sparklines/30d/HAVELLS-EQ.jpg,https://static.nseindia.com/sparklines/today/HAVELLSEQN.jpg,"{'symbol': 'HAVELLS', 'companyName': 'Havells India Limited', 'industry': 'ELECTRICAL EQUIPMENT', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['IL'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE176B01034'}"
78,TITAN,,EQ,2774.9,2781.45,2746.6,2770,2763.65,6.35,0.23,1172058,3234422977,31-Dec-99,2791,1825.05,0.752418488,-51.77666365,2.38,14-Oct-21,https://static.nseindia.com/sparklines/365d/TITAN-EQ.jpg,16-Sep-22,0.51,https://static.nseindia.com/sparklines/30d/TITAN-EQ.jpg,https://static.nseindia.com/sparklines/today/TITANEQN.jpg,"{'symbol': 'TITAN', 'companyName': 'Titan Company Limited', 'industry': 'GEMS JEWELLERY AND WATCHES', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['IL', 'N1'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE280A07025'}"
79,PIDILITIND,,EQ,2643.55,2663.05,2625.2,2649.5,2643.55,5.95,0.23,187803,496162379.8,31-Dec-99,2918.95,1988.55,9.231059114,-33.23778633,8.48,14-Oct-21,https://static.nseindia.com/sparklines/365d/PIDILITIND-EQ.jpg,16-Sep-22,-3.85,https://static.nseindia.com/sparklines/30d/PIDILITIND-EQ.jpg,https://static.nseindia.com/sparklines/today/PIDILITINDEQN.jpg,"{'symbol': 'PIDILITIND', 'companyName': 'Pidilite Industries Limited', 'industry': 'CHEMICALS - SPECIALITY', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE318A01026'}"
80,PAGEIND,,EQ,49749,50000,49325,49630,49530.3,99.7,0.2,13518,670412232.7,31-Dec-99,54349.1,36090,8.682940472,-37.51731782,37.38,14-Oct-21,https://static.nseindia.com/sparklines/365d/PAGEIND-EQ.jpg,16-Sep-22,5.18,https://static.nseindia.com/sparklines/30d/PAGEIND-EQ.jpg,https://static.nseindia.com/sparklines/today/PAGEINDEQN.jpg,"{'symbol': 'PAGEIND', 'companyName': 'Page Industries Limited', 'industry': 'TEXTILE PRODUCTS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['BE'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE761H01022'}"
81,TORNTPOWER,,EQ,509.8,516,509.35,510.7,509.8,0.9,0.18,211024,108160351.2,31-Dec-99,610,415.25,16.27868852,-22.98615292,-6.42,14-Oct-21,https://static.nseindia.com/sparklines/365d/TORNTPOWER-EQ.jpg,16-Sep-22,-10.78,https://static.nseindia.com/sparklines/30d/TORNTPOWER-EQ.jpg,https://static.nseindia.com/sparklines/today/TORNTPOWEREQN.jpg,"{'symbol': 'TORNTPOWER', 'companyName': 'Torrent Power Limited', 'industry': 'POWER', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE813H01021'}"
82,HCLTECH,,EQ,1045.15,1049,1033.45,1046.7,1045.15,1.55,0.15,1709158,1780549530,19-Oct-22,1359.4,877.35,23.00279535,-19.30244486,-20.51,14-Oct-21,https://static.nseindia.com/sparklines/365d/HCLTECH-EQ.jpg,16-Sep-22,10.89,https://static.nseindia.com/sparklines/30d/HCLTECH-EQ.jpg,https://static.nseindia.com/sparklines/today/HCLTECHEQN.jpg,"{'symbol': 'HCLTECH', 'companyName': 'HCL Technologies Limited', 'industry': 'COMPUTERS - SOFTWARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE860A01027'}"
83,MGL,,EQ,887.5,894,882.1,888.1,887.15,0.95,0.11,209665,186570400.3,11-Aug-22,1029.6,665.8,13.74320124,-33.38840493,-25.5,14-Oct-21,https://static.nseindia.com/sparklines/365d/MGL-EQ.jpg,16-Sep-22,-6.5,https://static.nseindia.com/sparklines/30d/MGL-EQ.jpg,https://static.nseindia.com/sparklines/today/MGLEQN.jpg,"{'symbol': 'MGL', 'companyName': 'Mahanagar Gas Limited', 'industry': 'GAS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE002S01010'}"
84,TECHM,,EQ,1053,1058.8,1038.75,1054,1052.85,1.15,0.11,2531080,2646876910,31-Dec-99,1838,943.7,42.65505985,-11.68803645,-28.48,14-Oct-21,https://static.nseindia.com/sparklines/365d/TECHM-EQ.jpg,16-Sep-22,-0.96,https://static.nseindia.com/sparklines/30d/TECHM-EQ.jpg,https://static.nseindia.com/sparklines/today/TECHMEQN.jpg,"{'symbol': 'TECHM', 'companyName': 'Tech Mahindra Limited', 'industry': 'COMPUTERS - SOFTWARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE669C01036'}"
85,SHREECEM,,EQ,22721,22999,22638.8,22838.45,22815.3,23.15,0.1,49873,1139389082,31-Dec-99,29818.9,17865.2,23.40948191,-27.83763966,-25.49,14-Oct-21,https://static.nseindia.com/sparklines/365d/SHREECEM-EQ.jpg,16-Sep-22,-10.66,https://static.nseindia.com/sparklines/30d/SHREECEM-EQ.jpg,https://static.nseindia.com/sparklines/today/SHREECEMEQN.jpg,"{'symbol': 'SHREECEM', 'companyName': 'SHREE CEMENT LIMITED', 'industry': 'CEMENT AND CEMENT PRODUCTS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE070A01015'}"
86,PFC,,EQ,117.1,117.5,116.15,116.9,116.8,0.1,0.09,3380760,395244651.6,01-Sep-22,142.3,97.1,17.84961349,-20.39134912,-31.65,14-Oct-21,https://static.nseindia.com/sparklines/365d/PFC-EQ.jpg,16-Sep-22,-10.62,https://static.nseindia.com/sparklines/30d/PFC-EQ.jpg,https://static.nseindia.com/sparklines/today/PFCEQN.jpg,"{'symbol': 'PFC', 'companyName': 'Power Finance Corporation Limited', 'industry': 'FINANCIAL INSTITUTION', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE134E01011'}"
87,LTTS,,EQ,3599,3636,3575,3627,3624,3,0.08,215134,774125277.6,27-Oct-22,5955.5,2924.2,39.09831248,-24.03392381,-25.55,14-Oct-21,https://static.nseindia.com/sparklines/365d/LTTS-EQ.jpg,16-Sep-22,4.48,https://static.nseindia.com/sparklines/30d/LTTS-EQ.jpg,https://static.nseindia.com/sparklines/today/LTTSEQN.jpg,"{'symbol': 'LTTS', 'companyName': 'L&T Technology Services Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE010V01017'}"
88,WHIRLPOOL,,EQ,1522.1,1527.9,1503.8,1520,1518.95,1.05,0.07,94699,143766339.9,31-Dec-99,2387,1365.1,36.32174277,-11.34715405,-36.37,14-Oct-21,https://static.nseindia.com/sparklines/365d/WHIRLPOOL-EQ.jpg,16-Sep-22,-9.18,https://static.nseindia.com/sparklines/30d/WHIRLPOOL-EQ.jpg,https://static.nseindia.com/sparklines/today/WHIRLPOOLEQN.jpg,"{'symbol': 'WHIRLPOOL', 'companyName': 'Whirlpool of India Limited', 'industry': 'CONSUMER DURABLES', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE716A01013'}"
89,GSPL,,EQ,226.25,226.65,224.15,225.5,225.35,0.15,0.07,428499,96442269.93,01-Sep-22,332.4,209.45,32.16004813,-7.662926713,-30.76,14-Oct-21,https://static.nseindia.com/sparklines/365d/GSPL-EQ.jpg,16-Sep-22,-9.99,https://static.nseindia.com/sparklines/30d/GSPL-EQ.jpg,https://static.nseindia.com/sparklines/today/GSPLEQN.jpg,"{'symbol': 'GSPL', 'companyName': 'Gujarat State Petronet Limited', 'industry': 'GAS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE246F01010'}"
90,BAJAJ-AUTO,,EQ,3779.45,3809.9,3762.9,3775,3773.5,1.5,0.04,230932,874253128.3,31-Dec-99,4131.75,3027.05,8.634355902,-24.70887498,-8.49,14-Oct-21,https://static.nseindia.com/sparklines/365d/BAJAJ-AUTO-EQ.jpg,16-Sep-22,-1.64,https://static.nseindia.com/sparklines/30d/BAJAJ-AUTO-EQ.jpg,https://static.nseindia.com/sparklines/today/BAJAJ-AUTOEQN.jpg,"{'symbol': 'BAJAJ-AUTO', 'companyName': 'Bajaj Auto Limited', 'industry': 'AUTOMOBILES - 2 AND 3 WHEELERS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE917I01010'}"
91,IDFCFIRSTB,,EQ,57.25,57.65,56.8,57.2,57.2,0,0,29045358,1659361303,31-Dec-99,59.45,28.95,3.784693019,-97.582038,12.85,14-Oct-21,https://static.nseindia.com/sparklines/365d/IDFCFIRSTB-EQ.jpg,16-Sep-22,9.42,https://static.nseindia.com/sparklines/30d/IDFCFIRSTB-EQ.jpg,https://static.nseindia.com/sparklines/today/IDFCFIRSTBEQN.jpg,"{'symbol': 'IDFCFIRSTB', 'companyName': 'IDFC First Bank Limited', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['H1', 'H6', 'H7', 'H8', 'H9', 'HA', 'HB', 'HC', 'HD', 'HE', 'N1', 'N2', 'N3', 'N4', 'N5', 'N6', 'N7', 'N8', 'N9', 'NA', 'NB', 'NC', 'ND', 'NE'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE092T08CP8'}"
92,IOC,,EQ,68.65,69,68.3,68.7,68.7,0,0,8971834,616006122.4,11-Aug-22,94.33,65.2,27.1705714,-5.36809816,-50.86,14-Oct-21,https://static.nseindia.com/sparklines/365d/IOC-EQ.jpg,16-Sep-22,-5.58,https://static.nseindia.com/sparklines/30d/IOC-EQ.jpg,https://static.nseindia.com/sparklines/today/IOCEQN.jpg,"{'symbol': 'IOC', 'companyName': 'Indian Oil Corporation Limited', 'industry': 'REFINERIES', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE242A01010'}"
93,KOTAKBANK,,EQ,1906,1908,1894.3,1900,1900.15,-0.15,-0.01,2081413,3953186083,11-Aug-22,2127.6,1631,10.69749953,-16.49294911,-7.91,14-Oct-21,https://static.nseindia.com/sparklines/365d/KOTAKBANK-EQ.jpg,16-Sep-22,-3.74,https://static.nseindia.com/sparklines/30d/KOTAKBANK-EQ.jpg,https://static.nseindia.com/sparklines/today/KOTAKBANKEQN.jpg,"{'symbol': 'KOTAKBANK', 'companyName': 'Kotak Mahindra Bank Limited', 'industry': 'BANKS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': ['IL'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE237A01028'}"
94,NESTLEIND,,EQ,20423.45,20535,20304.7,20422,20423.45,-1.45,-0.01,18873,385037509.5,31-Oct-22,21050,16000,2.983372922,-27.6375,-2.1,14-Oct-21,https://static.nseindia.com/sparklines/365d/NESTLEIND-EQ.jpg,16-Sep-22,2.8,https://static.nseindia.com/sparklines/30d/NESTLEIND-EQ.jpg,https://static.nseindia.com/sparklines/today/NESTLEINDEQN.jpg,"{'symbol': 'NESTLEIND', 'companyName': 'Nestle India Limited', 'industry': 'FOOD AND FOOD PROCESSING', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE239A01016'}"
95,EICHERMOT,,EQ,3695,3729,3645,3674.4,3675.25,-0.85,-0.02,631943,2327736763,12-Aug-22,3889.65,2159.55,5.533916933,-70.14655831,23.18,14-Oct-21,https://static.nseindia.com/sparklines/365d/EICHERMOT-EQ.jpg,16-Sep-22,-0.97,https://static.nseindia.com/sparklines/30d/EICHERMOT-EQ.jpg,https://static.nseindia.com/sparklines/today/EICHERMOTEQN.jpg,"{'symbol': 'EICHERMOT', 'companyName': 'Eicher Motors Limited', 'industry': 'AUTOMOBILES - 4 WHEELERS', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE066A01021'}"
96,GODREJCP,,EQ,830,831.95,820,831.5,831.75,-0.25,-0.03,683905,564864495.7,31-Dec-99,985.25,660.05,15.60517635,-25.9753049,-19.75,14-Oct-21,https://static.nseindia.com/sparklines/365d/GODREJCP-EQ.jpg,16-Sep-22,-6.35,https://static.nseindia.com/sparklines/30d/GODREJCP-EQ.jpg,https://static.nseindia.com/sparklines/today/GODREJCPEQN.jpg,"{'symbol': 'GODREJCP', 'companyName': 'Godrej Consumer Products Limited', 'industry': 'PERSONAL CARE', 'activeSeries': ['EQ'], 'debtSeries': [], 'tempSuspendedSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE102D01028'}"
97,RECLTD,,EQ,104.2,104.65,103.6,104.1,104.15,-0.05,-0.05,12081873,1256877248,31-Dec-99,116.74,82.24,10.82747987,-26.5807393,-44.37,14-Oct-21,https://static.nseindia.com/sparklines/365d/RECLTD-EQ.jpg,16-Sep-22,-11.92,https://static.nseindia.com/sparklines/30d/RECLTD-EQ.jpg,https://static.nseindia.com/sparklines/today/RECLTDEQN.jpg,"{'symbol': 'RECLTD', 'companyName': 'REC Limited', 'industry': 'FINANCIAL INSTITUTION', 'activeSeries': ['EQ'], 'debtSeries': ['N1', 'N2', 'N3', 'N4', 'N5', 'N6', 'N7', 'N8', 'N9', 'NA', 'NB', 'NC', 'ND', 'NE', 'NF', 'NG'], 'tempSuspendedSeries': ['IL'], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': True, 'isSuspended': False, 'isETFSec': False, 'isDelisted': False, 'isin': 'INE020B07IH3'}"
